cusID,chennel,useCnt
00007,A_MOBILE/APP,4
00014,A_MOBILE/APP,1
00042,B_MOBILE/APP,23
00074,A_MOBILE/APP,1
00074,B_MOBILE/APP,30
00094,B_MOBILE/APP,14
00112,A_MOBILE/APP,16
00112,B_MOBILE/APP,1
00122,A_MOBILE/APP,27
00123,B_MOBILE/APP,10
00129,B_MOBILE/APP,7
00138,A_MOBILE/APP,4
00193,B_MOBILE/APP,2
00198,B_MOBILE/APP,3
00205,B_MOBILE/APP,4
00206,B_MOBILE/APP,8
00210,B_MOBILE/APP,4
00215,B_MOBILE/APP,7
00220,B_MOBILE/APP,17
00221,B_MOBILE/APP,41
00225,A_MOBILE/APP,5
00225,B_MOBILE/APP,1
00241,A_MOBILE/APP,1
00242,B_MOBILE/APP,42
00248,B_MOBILE/APP,12
00255,A_MOBILE/APP,93
00260,B_MOBILE/APP,23
00272,B_MOBILE/APP,27
00287,B_MOBILE/APP,27
00290,B_MOBILE/APP,8
00298,A_MOBILE/APP,12
00300,B_MOBILE/APP,31
00304,A_MOBILE/APP,1
00304,B_MOBILE/APP,1
00311,B_MOBILE/APP,1
00325,B_MOBILE/APP,19
00326,A_MOBILE/APP,1
00333,B_MOBILE/APP,38
00336,B_MOBILE/APP,37
00353,B_MOBILE/APP,25
00370,B_MOBILE/APP,16
00376,B_MOBILE/APP,3
00377,A_MOBILE/APP,1
00385,B_MOBILE/APP,10
00386,B_MOBILE/APP,9
00387,B_MOBILE/APP,16
00395,B_MOBILE/APP,1
00403,B_MOBILE/APP,111
00406,B_MOBILE/APP,40
00416,A_MOBILE/APP,8
00418,B_MOBILE/APP,17
00425,B_MOBILE/APP,6
00432,B_MOBILE/APP,6
00440,A_MOBILE/APP,8
00444,B_MOBILE/APP,1
00446,B_MOBILE/APP,42
00448,A_MOBILE/APP,1
00449,B_MOBILE/APP,30
00451,B_MOBILE/APP,12
00456,B_MOBILE/APP,4
00457,A_MOBILE/APP,168
00457,B_MOBILE/APP,3
00464,B_MOBILE/APP,9
00465,B_MOBILE/APP,11
00467,B_MOBILE/APP,3
00475,B_MOBILE/APP,11
00477,A_MOBILE/APP,60
00479,B_MOBILE/APP,6
00487,B_MOBILE/APP,20
00498,B_MOBILE/APP,2
00512,B_MOBILE/APP,15
00518,A_MOBILE/APP,1
00524,B_MOBILE/APP,34
00529,B_MOBILE/APP,4
00535,A_MOBILE/APP,12
00540,B_MOBILE/APP,7
00544,A_MOBILE/APP,7
00549,A_MOBILE/APP,1
00555,B_MOBILE/APP,10
00569,A_MOBILE/APP,2
00574,B_MOBILE/APP,15
00577,B_MOBILE/APP,14
00604,B_MOBILE/APP,1
00609,B_MOBILE/APP,24
00614,B_MOBILE/APP,1
00626,B_MOBILE/APP,10
00630,A_MOBILE/APP,2
00630,B_MOBILE/APP,16
00646,B_MOBILE/APP,13
00656,A_MOBILE/APP,10
00658,B_MOBILE/APP,5
00661,B_MOBILE/APP,39
00662,B_MOBILE/APP,12
00664,A_MOBILE/APP,7
00665,B_MOBILE/APP,37
00672,A_MOBILE/APP,52
00681,B_MOBILE/APP,1
00683,B_MOBILE/APP,21
00694,A_MOBILE/APP,16
00706,B_MOBILE/APP,2
00714,B_MOBILE/APP,4
00716,B_MOBILE/APP,6
00722,B_MOBILE/APP,61
00724,B_MOBILE/APP,15
00726,B_MOBILE/APP,11
00729,B_MOBILE/APP,6
00731,B_MOBILE/APP,4
00733,B_MOBILE/APP,22
00734,B_MOBILE/APP,15
00737,B_MOBILE/APP,18
00740,B_MOBILE/APP,19
00744,B_MOBILE/APP,15
00749,B_MOBILE/APP,32
00755,B_MOBILE/APP,19
00757,A_MOBILE/APP,6
00758,A_MOBILE/APP,1
00759,A_MOBILE/APP,22
00760,B_MOBILE/APP,7
00769,B_MOBILE/APP,10
00770,A_MOBILE/APP,1
00779,A_MOBILE/APP,4
00779,B_MOBILE/APP,45
00781,B_MOBILE/APP,3
00796,B_MOBILE/APP,17
00809,B_MOBILE/APP,3
00820,B_MOBILE/APP,32
00834,B_MOBILE/APP,33
00843,A_MOBILE/APP,1
00843,B_MOBILE/APP,97
00845,A_MOBILE/APP,31
00850,A_MOBILE/APP,5
00854,B_MOBILE/APP,1
00859,B_MOBILE/APP,13
00863,A_MOBILE/APP,10
00866,A_MOBILE/APP,1
00877,B_MOBILE/APP,69
00885,A_MOBILE/APP,1
00888,B_MOBILE/APP,21
00889,B_MOBILE/APP,3
00891,B_MOBILE/APP,30
00894,A_MOBILE/APP,33
00897,B_MOBILE/APP,1
00907,A_MOBILE/APP,27
00910,B_MOBILE/APP,1
00916,A_MOBILE/APP,13
00916,B_MOBILE/APP,2
00918,B_MOBILE/APP,9
00921,B_MOBILE/APP,18
00928,B_MOBILE/APP,2
00932,B_MOBILE/APP,7
00938,B_MOBILE/APP,21
00940,B_MOBILE/APP,6
00945,B_MOBILE/APP,14
00950,B_MOBILE/APP,18
00951,B_MOBILE/APP,24
00952,A_MOBILE/APP,2
00976,C_MOBILE/APP,1
00979,B_MOBILE/APP,40
00995,B_MOBILE/APP,6
00996,A_MOBILE/APP,25
01002,A_MOBILE/APP,1
01004,A_MOBILE/APP,14
01006,B_MOBILE/APP,1
01007,B_MOBILE/APP,8
01024,B_MOBILE/APP,30
01029,A_MOBILE/APP,2
01051,B_MOBILE/APP,2
01069,A_MOBILE/APP,1
01070,B_MOBILE/APP,6
01095,B_MOBILE/APP,3
01107,A_MOBILE/APP,3
01111,A_MOBILE/APP,41
01111,B_MOBILE/APP,3
01114,B_MOBILE/APP,18
01115,A_MOBILE/APP,6
01117,A_MOBILE/APP,33
01120,B_MOBILE/APP,1
01123,B_MOBILE/APP,11
01124,A_MOBILE/APP,1
01125,B_MOBILE/APP,9
01131,A_MOBILE/APP,4
01135,A_MOBILE/APP,2
01140,B_MOBILE/APP,8
01143,B_MOBILE/APP,1
01145,B_MOBILE/APP,5
01152,A_MOBILE/APP,2
01152,B_MOBILE/APP,31
01154,B_MOBILE/APP,2
01160,B_MOBILE/APP,6
01161,A_MOBILE/APP,12
01163,A_MOBILE/APP,7
01166,B_MOBILE/APP,2
01182,B_MOBILE/APP,29
01183,B_MOBILE/APP,6
01187,A_MOBILE/APP,19
01198,B_MOBILE/APP,69
01203,A_MOBILE/APP,13
01204,B_MOBILE/APP,29
01211,A_MOBILE/APP,1
01213,B_MOBILE/APP,3
01214,B_MOBILE/APP,3
01225,B_MOBILE/APP,2
01234,B_MOBILE/APP,14
01235,A_MOBILE/APP,1
01235,B_MOBILE/APP,1
01240,B_MOBILE/APP,1
01241,B_MOBILE/APP,83
01248,B_MOBILE/APP,2
01258,B_MOBILE/APP,15
01266,B_MOBILE/APP,1
01276,B_MOBILE/APP,16
01280,B_MOBILE/APP,22
01282,A_MOBILE/APP,4
01283,A_MOBILE/APP,3
01283,B_MOBILE/APP,5
01300,B_MOBILE/APP,21
01301,A_MOBILE/APP,4
01308,A_MOBILE/APP,1
01312,A_MOBILE/APP,2
01316,A_MOBILE/APP,35
01316,B_MOBILE/APP,7
01318,B_MOBILE/APP,2
01319,B_MOBILE/APP,59
01320,B_MOBILE/APP,43
01324,B_MOBILE/APP,25
01326,B_MOBILE/APP,2
01328,B_MOBILE/APP,15
01330,B_MOBILE/APP,4
01337,B_MOBILE/APP,17
01338,B_MOBILE/APP,13
01339,B_MOBILE/APP,14
01349,A_MOBILE/APP,2
01349,B_MOBILE/APP,2
01355,A_MOBILE/APP,3
01360,B_MOBILE/APP,8
01361,B_MOBILE/APP,16
01363,B_MOBILE/APP,6
01368,B_MOBILE/APP,8
01369,B_MOBILE/APP,13
01371,B_MOBILE/APP,5
01372,B_MOBILE/APP,1
01374,B_MOBILE/APP,65
01375,B_MOBILE/APP,19
01376,B_MOBILE/APP,15
01381,A_MOBILE/APP,2
01384,B_MOBILE/APP,46
01387,B_MOBILE/APP,6
01388,B_MOBILE/APP,1
01390,B_MOBILE/APP,16
01396,B_MOBILE/APP,59
01401,B_MOBILE/APP,17
01404,B_MOBILE/APP,24
01409,A_MOBILE/APP,10
01409,D_MOBILE/APP,4
01410,B_MOBILE/APP,40
01411,A_MOBILE/APP,2
01412,B_MOBILE/APP,24
01418,B_MOBILE/APP,2
01421,A_MOBILE/APP,1
01425,B_MOBILE/APP,4
01430,A_MOBILE/APP,35
01433,A_MOBILE/APP,2
