cusID,partner,competitor,useDate
00002,D,D02,201507
00051,D,D01,201504
00077,D,D02,201503
00077,D,D02,201506
00077,D,D02,201507
00077,D,D02,201508
00077,D,D02,201511
00088,D,D02,201510
00088,D,D02,201511
00110,D,D02,201508
00113,D,D02,201512
00115,D,D02,201507
00115,D,D02,201508
00118,D,D02,201501
00118,D,D02,201505
00121,D,D02,201501
00121,D,D02,201512
00132,D,D02,201510
00149,D,D02,201502
00149,D,D02,201511
00166,D,D02,201509
00166,D,D02,201512
00179,D,D02,201510
00181,D,D02,201506
00189,D,D02,201511
00219,D,D02,201506
00219,D,D02,201509
00219,D,D02,201510
00219,D,D02,201511
00240,D,D02,201501
00240,D,D02,201502
00240,D,D02,201503
00240,D,D02,201504
00240,D,D02,201505
00240,D,D02,201506
00240,D,D02,201507
00240,D,D02,201508
00240,D,D02,201509
00240,D,D02,201510
00240,D,D02,201511
00240,D,D02,201512
00251,D,D02,201505
00254,D,D02,201504
00301,D,D02,201508
00367,D,D02,201501
00367,D,D02,201502
00367,D,D02,201505
00367,D,D02,201507
00367,D,D02,201508
00367,D,D02,201510
00367,D,D02,201512
00374,D,D02,201512
00405,D,D02,201508
00423,D,D02,201505
00438,D,D02,201502
00440,D,D02,201502
00440,D,D02,201505
00453,D,D01,201501
00462,D,D02,201501
00469,D,D02,201502
00528,D,D02,201501
00550,D,D02,201512
00551,D,D02,201503
00552,D,D02,201504
00553,D,D01,201510
00553,D,D02,201503
00553,D,D02,201510
00582,D,D02,201506
00582,D,D02,201509
00597,D,D02,201501
00597,D,D02,201502
00629,D,D02,201502
00629,D,D02,201503
00629,D,D02,201504
00629,D,D02,201505
00629,D,D02,201506
00629,D,D02,201507
00629,D,D02,201508
00629,D,D02,201511
00633,D,D02,201510
00664,D,D02,201510
00691,D,D02,201511
00696,D,D01,201501
00696,D,D02,201501
00696,D,D02,201509
00697,D,D01,201501
00697,D,D01,201504
00697,D,D01,201507
00697,D,D01,201509
00697,D,D02,201510
