partner,cate_1,cate_2,cate_3,cate_2_name,cate_3_name
A,01,0101,A010101,일용잡화,위생세제
A,01,0101,A010102,일용잡화,휴지류
A,01,0101,A010103,일용잡화,뷰티상품
A,01,0101,A010104,일용잡화,일용잡화
A,01,0101,A010105,일용잡화,세트상품
A,01,0101,A010106,일용잡화,단기행사
A,01,0102,A010201,육류,우육
A,01,0102,A010202,육류,돈육
A,01,0102,A010203,육류,계육
A,01,0102,A010204,육류,갈비세트
A,01,0102,A010205,육류,정육세트
A,01,0102,A010206,육류,수입육
A,01,0102,A010207,육류,양념육
A,01,0103,A010301,축산가공,햄
A,01,0103,A010302,축산가공,유제품
A,01,0103,A010303,축산가공,직매입
A,01,0103,A010304,축산가공,화과자
A,01,0103,A010305,축산가공,햄세트
A,01,0103,A010306,축산가공,친환경올가
A,01,0104,A010401,농산물,청과
A,01,0104,A010402,농산물,채소
A,01,0104,A010403,농산물,유기농채소
A,01,0104,A010404,농산물,농산가공
A,01,0104,A010405,농산물,건과
A,01,0104,A010406,농산물,선식(가루류)
A,01,0104,A010407,농산물,곡물
A,01,0104,A010408,농산물,농산단기행사
A,01,0104,A010409,농산물,청과세트
A,01,0104,A010410,농산물,건과세트
A,01,0104,A010411,농산물,곶감/송이세트
A,01,0104,A010412,농산물,수삼/더덕세트
A,01,0104,A010413,농산물,친환경세트
A,01,0104,A010414,농산물,농산단기행사
A,01,0105,A010501,수산품,생선
A,01,0105,A010502,수산품,회
A,01,0105,A010503,수산품,건생선
A,01,0105,A010504,수산품,기타생선
A,01,0105,A010505,수산품,냉동식품
A,01,0105,A010506,수산품,냉동만두류
A,01,0105,A010507,수산품,굴비류
A,01,0105,A010508,수산품,멸치류
A,01,0105,A010509,수산품,안주류
A,01,0105,A010510,수산품,김류
A,01,0105,A010511,수산품,즉석구이김류
A,01,0105,A010512,수산품,건어물류
A,01,0105,A010514,수산품,건어물세트
A,01,0105,A010515,수산품,선어세트
A,01,0105,A010516,수산품,굴비세트
A,01,0105,A010517,수산품,안주세트
A,01,0105,A010518,수산품,기타건생선세트
A,01,0105,A010519,수산품,김세트
A,01,0105,A010520,수산품,멸치세트
A,01,0105,A010521,수산품,수산단기행사
A,01,0106,A010601,가공식품,한식델리
A,01,0106,A010602,가공식품,일식델리
A,01,0106,A010603,가공식품,서양델리
A,01,0106,A010604,가공식품,에스닉푸드
A,01,0106,A010605,가공식품,중식델리
A,01,0106,A010606,가공식품,초밥
A,01,0106,A010607,가공식품,제과제빵
A,01,0106,A010608,가공식품,일반가공식품
A,01,0106,A010609,가공식품,특산물행사
A,01,0106,A010610,가공식품,가공선물세트
A,01,0106,A010611,가공식품,케익류
A,01,0106,A010612,가공식품,양과자류
A,01,0106,A010613,가공식품,전문베이커리
A,01,0106,A010614,가공식품,떡
A,01,0106,A010615,가공식품,한과
A,01,0106,A010616,가공식품,한과(세트행사)
A,01,0106,A010617,가공식품,양과(세트행사)
A,01,0106,A010618,가공식품,반찬장류세트
A,01,0106,A010619,가공식품,포숑
A,01,0106,A010620,가공식품,수입단기행사
A,01,0106,A010621,가공식품,기타베이커리
A,01,0106,A010622,가공식품,즉석.스넥(매장)
A,01,0106,A010623,가공식품,밥류
A,01,0106,A010624,가공식품,면류
A,01,0106,A010625,가공식품,패밀리레스토랑
A,01,0106,A010626,가공식품,아이스크림
A,01,0106,A010627,가공식품,커피숍
A,01,0106,A010628,가공식품,KKD
A,01,0106,A010629,가공식품,푸드코트
A,01,0106,A010630,가공식품,브랑제리
A,01,0106,A010631,가공식품,브랜드샵
A,01,0106,A010632,가공식품,엔젤리너스
A,01,0106,A010633,가공식품,롯데리아
A,01,0106,A010634,가공식품,TGIF
A,01,0106,A010635,가공식품,음료
A,01,0106,A010636,가공식품,분식
A,01,0106,A010637,가공식품,대형테넌트
A,01,0106,A010638,가공식품,디저트카페
A,01,0106,A010639,가공식품,양식
A,01,0106,A010640,가공식품,일식
A,01,0106,A010641,가공식품,한식
A,01,0106,A010642,가공식품,중식
A,01,0106,A010643,가공식품,패스트푸드
A,01,0106,A010644,가공식품,식당가 한식
A,01,0106,A010645,가공식품,식당가 중식
A,01,0106,A010646,가공식품,식당가 일식
A,01,0106,A010647,가공식품,식당가 양식
A,01,0106,A010648,가공식품,식당가 커피숍
A,01,0106,A010649,가공식품,식당가 아이스크림
A,01,0106,A010650,가공식품,식당가 레스토랑
A,01,0106,A010652,가공식품,생필(부대)
A,01,0106,A010653,가공식품,스넥(부대)
A,01,0106,A010654,가공식품,지방스넥(부대)
A,01,0106,A010655,가공식품,델리(부대)
A,01,0106,A010656,가공식품,레토르
A,01,0107,A010701,젓갈/반찬,젓갈세트
A,01,0107,A010702,젓갈/반찬,규격젓갈
A,01,0107,A010703,젓갈/반찬,벌크젓갈
A,01,0107,A010704,젓갈/반찬,규격김치
A,01,0107,A010705,젓갈/반찬,벌크김치
A,01,0107,A010706,젓갈/반찬,장류
A,01,0107,A010707,젓갈/반찬,어묵
A,01,0107,A010708,젓갈/반찬,가공행사
A,01,0107,A010710,젓갈/반찬,즉석반찬
A,01,0108,A010801,건강식품,건강식품(홍삼)
A,01,0108,A010802,건강식품,건강식품
A,01,0108,A010803,건강식품,건강식품(비타민)
A,01,0109,A010901,주류,주류
A,01,0109,A010902,주류,음료
A,01,0109,A010903,주류,한차
A,01,0109,A010904,주류,공병
A,01,0109,A010905,주류,기타음료
A,01,0110,A011001,차/커피,디저트류
A,01,0110,A011002,차/커피,가공2단기행사
A,01,0110,A011003,차/커피,원두커피
A,01,0110,A011004,차/커피,수입식품
A,01,0111,A011101,기타,PECK Restaurant
A,01,0111,A011102,기타,PECK Enoteca
A,01,0111,A011103,기타,PECK Fruits
A,01,0111,A011104,기타,PECK G&C
A,01,0111,A011105,기타,팩토리샵
A,01,0111,A011106,기타,CJ팩토리샵
A,01,0111,A011107,기타,스테이셔너리
A,01,0111,A011108,기타,5 ON THE GO
A,01,0111,A011109,기타,멘즈셀렉샵
A,02,0201,A020101,섬유잡화,넥타이(특정)
A,02,0201,A020102,섬유잡화,스카프(특정)
A,02,0201,A020103,섬유잡화,양말(특정)
A,02,0201,A020104,섬유잡화,손수건(특정)
A,02,0201,A020105,섬유잡화,스타킹(특정)
A,02,0201,A020106,섬유잡화,모자(특정)
A,02,0201,A020107,섬유잡화,우/양산(특정)
A,02,0201,A020108,섬유잡화,장갑(특정)
A,02,0201,A020109,섬유잡화,기타
A,02,0201,A020110,섬유잡화,누셀렉트샵
A,02,0201,A020111,섬유잡화,모자(단기행사)
A,02,0201,A020112,섬유잡화,패션갤러리움
A,02,0201,A020113,섬유잡화,무인양품
A,02,0201,A020114,섬유잡화,영플라자(패션내의)
