cusID,memberShip,regDate
00011,하이마트,201512
00021,하이마트,201506
00037,하이마트,201306
00043,하이마트,201403
00044,하이마트,201411
00061,하이마트,201312
00065,하이마트,201506
00069,하이마트,201404
00076,하이마트,201406
00079,하이마트,201311
00083,하이마트,201503
00087,하이마트,201412
00094,하이마트,201311
00096,하이마트,201406
00098,하이마트,201508
00099,하이마트,201310
00100,하이마트,201312
00101,하이마트,201402
00112,하이마트,201404
00117,하이마트,201508
00125,하이마트,201312
00131,하이마트,201506
00136,하이마트,201510
00138,하이마트,201410
00158,하이마트,201502
00161,하이마트,201308
00166,하이마트,201309
00172,하이마트,201407
00174,하이마트,201406
00185,하이마트,201403
00187,하이마트,201310
00190,하이마트,201503
00191,하이마트,201309
00192,하이마트,201311
00193,하이마트,201404
00194,하이마트,201504
00195,하이마트,201511
00198,하이마트,201510
00199,하이마트,201308
00204,하이마트,201512
00205,하이마트,201410
00207,하이마트,201310
00212,하이마트,201405
00213,하이마트,201501
00215,하이마트,201510
00220,하이마트,201311
00222,하이마트,201510
00228,하이마트,201504
00232,하이마트,201402
00242,하이마트,201506
00257,하이마트,201510
00264,하이마트,201404
00265,하이마트,201306
00267,하이마트,201412
00279,하이마트,201512
00284,하이마트,201506
00294,하이마트,201505
00298,하이마트,201510
00300,하이마트,201306
00310,하이마트,201407
00311,하이마트,201403
00312,하이마트,201310
00313,하이마트,201507
00322,하이마트,201405
00324,하이마트,201511
00325,하이마트,201406
00326,하이마트,201310
00329,하이마트,201311
00331,하이마트,201401
00333,하이마트,201510
00339,하이마트,201408
00351,하이마트,201503
00354,하이마트,201404
00359,하이마트,201401
00361,하이마트,201306
00362,하이마트,201411
00364,하이마트,201404
00366,하이마트,201407
00370,하이마트,201508
00371,하이마트,201411
00395,하이마트,201409
00409,하이마트,201405
00413,하이마트,201311
00422,하이마트,201405
00424,하이마트,201310
00425,하이마트,201412
00431,하이마트,201411
00444,하이마트,201509
00446,하이마트,201407
00449,하이마트,201401
00454,하이마트,201311
00456,하이마트,201311
00458,하이마트,201501
00461,하이마트,201411
00465,하이마트,201511
00467,하이마트,201407
